part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,,,Anaetzungen polieren,Polish arrangements,,
,,,,,,"Kotfluegel, Stossfaenger","Cotfluegel, shock Fenger",,
,,,,,,Verformung,deformation,,
,,,,,,"Pruefen ob Verschleißgrenze,Mehrkosten koennen entstehen","Prüfen whether wear limit, additional costs can arise",,
,,,,,,Nabendeckel Chrom abgeplatzt,Hub cap chrome off,,
,,,,,,Silberner Teil.,Silver part.,,
,,,,,,Strukturteil,Structural part,,
,,,,,,Frontquertraeger verformt,Frontquertraeger deformed,,
,,,,,,Schadenausweitung nach Demontage moeglich,Damage extension after disassembly possible,,
,,,,,,VA einseitig,VA one-sided,,
,,,,,,Verkleidung vorne,Fairing front,,
,,,,,,Gurtstraffer,Belt tensioner,,
,,,,,,Bis auf Metall,To metal,,
,,,,,,Kein Bestandteil der Ausstattungsliste,Not part of the equipment list,,
,,,,,,2 Radsatz SR,2 wheelset SR,,
,,,,,,Leichter Materialabtrag,Lightweight material removal,,
,,,,,,Und Korrosion,And corrosion,,
,,,,,,Tuerverkleidung & Beifahrersitz rechts,Tuerverklung & passenger seat right,,
,,,,,,Spiegel gebrochen,Mirror broken,,
,,,,,,Dach und Heckspoiler,Roof and rear spoiler,,
,,,,,,Korrosionsantrag und Delle,Corrosion application and delle,,
,,,,,,und Schwellerverkleidung,and sill cladding,,
,,,,,,Rollo,Roller,,
,,,,,,mit Korrosionsbildung,with corrosion,,
,,,,,,und Einstieg,and entry,,
,,,,,,(Abdeckung hi mit Netz),(Cover Hi with network),,
,,,,,,Links und Rechts,Left and right,,
,,,,,,Steinschlag im Siebdruck,Rockfall in screen printing,,
,,,,,,inkl. auslegen und polieren,incl. Layout and polishing,,
,,,,,,AdBlue reichweite 350km,AdBlue Range 350km,,
,,,,,,"Falscher Geschwindigkeitsindex, H statt V","Wrong Speed ​​Index, H instead of V",,
,,,,,,Spruehnebel,Sprouting,,
,,,,,,Beklebungsreste,Remnants,,
,,,,,,Restlauf unter 1000km,Residual run below 1000km,,
,,,,,,Farbnebel,Color mist,,
,,,,,,Orangenhaut und Farbunterschied,Orange skin and color difference,,
,,,,,,Lackstruktur unruhig,Paint structure restless,,
,,,,,,Aluschienen links und rechts,Alus rails left and right,,
,,,,,,Verharzung,Attenuation,,
,,,,,,schleifen und polieren,Grinding and polishing,,
,,,,,,Wassereinbruch Fussraum VL,Water invitation Foot room VL,,
,,,,,,Und rechts Kantenschutz,And right edge protection,,
,,,,,,Kantenschutz rechts und links,Edge protection right and left,,
,,,,,,rechts vorn,right forward,,
,,,,,,Fernbedienung,remote control,,
,,,,,,Hoehenverstellung,Balance,,
,,,,,,Stahl Winter,Steel winter,,
,,,,,,oberhalb,above,,
,,,,,,Moegliche Folgekosten durch lackieren,Possible follow-up costs by painting,,
,,,,,,Nachfuellen,Fulfill,,
,,,,,,Struktur wellig.,Structure wavy.,,
,,,,,,Herausnehmbare leucht im Kofferraum,Removable luminance in the trunk,,
,,,,,,Gummieinlage,Rubber insert,,
,,,,,,Tuerfalz geknickt,Tuerfalz kinked,,
,,,,,,"Einschluesse, wellig","Sleep, wavy",,
,,,,,,Oberhalb,Above,,
,,,,,,Innen abgefahren,Inside,,
,,,,,,Blende Nebelscheinwerfer rechts,Hide fog light right,,
,,,,,,Heckklappe links,Tailgate left,,
,,,,,,Lackabplatzer,Lacquer,,
,,,,,,Fensterrahmen hinten links und rechts,Window frame rear left and right,,
,,,,,,Luftduesen hintenj,Aerial diore rear,,
,,,,,,Oelwechsel,Oil change,,
,,,,,,Kordel links fehlt,Kordel left missing,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Schwenkt nicht aus. Folgekosten moeglich,Do not swing out. Subsequent costs possible,,
,,,,,,punktuell eingedrueckt,punctured,,
,,,,,,Laeufer in der Lackierung,Laeuer in the painting,,
,,,,,,11/19/22,11/19/22,,
,,,,,,Lackabplatzungen mit,Lacquer chipping,,
,,,,,,Lackabschuerfung u.Lackkratzer,Paint collapse u.Lack scratch,,
,,,,,,mit Materialabtragung,with material removal,,
,,,,,,mit Rostansatz,rust,,
,,,,,,"Hinten links ,Kostenerweiterung moeglich","Rear left, cost expansion possible",,
,,,,,,Laderaum rechts,Cargo space right,,
,,,,,,Abdeckung Innenbetaetigung Fluegeltuer links hinten,Cover internal requirement Fluergerte left rear,,
,,,,,,Fluegeltuer hinten rechts,Flight door rear right,,
,,,,,,Bordwand,On-board wall,,
,,,,,,In 15 Tagen faellig.,Faellig in 15 days.,,
,,,,,,Inkl. Stauchung,Including compression,,
,,,,,,auf der Kante,on the edge,,
,,,,,,Inkl. Spoiler,Incl. Spoiler,,
,,,,,,Blende / Folgekosten moeglich,Aperture / follow-up costs possible,,
,,,,,,Harz/ Folgekosten moeglich,Resin / follow-up costs possible,,
,,,,,,Abschlussblech,Clipboard,,
,,,,,,Gebrochen,Broken,,
,,,,,,"Kostenerweiterung moeglich!,","Cost extension possible!,",,
,,,,,,Kante unten,Edge below,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Mit Rissbildung mehr als 2 cm,With cracking more than 2 cm,,
,,,,,,Lackbild,Lacquer,,
,,,,,,Tragbild Mangelhaft,Loading picture poor,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Innentuer,Inner door,,
,,,,,,6 Bauteile,6 components,,
,,,,,,OElservice in 600 km,Oelservice at 600 km,,
,,,,,,Tuerschlosskappe,Tu-losing cap,,
,,,,,,leichter Anfahrschaden,Lightweight starting damage,,
,,,,,,Klarlack stumpf,Clearcoat stump,,
,,,,,,2x Delle,2x delle,,
,,,,,,3x Delle,3x delle,,
,,,,,,Plane,Plans,,
,,,,,,Unterfahrschutz,Underride protection,,
,,,,,,Sonderbauteile,Special components,,
,,,,,,Folgeschaeden moeglich,Consequential construction possible,,
,,,,,,Dach ca. 15,Roof about 15,,
,,,,,,Seit 270km,Since 270km,,
,,,,,,Fehlteile/ Einbruchschaden,Missing parts / burglar damage,,
,,,,,,235/45R18 98Y,235 / 45R18 98Y,,
,,,,,,2 mm < 3 mm,2 mm <3 mm,,
,,,,,,3 mm < 4 mm,3 mm <4 mm,,
,,,,,,Verschmutzt und,Polluted and,,
,,,,,,"beschaedigt, nicht fachgerecht instandgesetzt, abgeschliffen","Damaged, not professionally repaired, ground",,
,,,,,,Folgekosten nach Demontage feststellbar!,Follow-up costs detectable after disassembly!,,
,,,,,,Reifen auf Rueckbank abgelegt!,Mature stored on backbench!,,
,,,,,,Luft leer,Air empty,,
,,,,,,Vermehrte Steinschlaege,Reptile stone slides,,
,,,,,,Anprall Kostenerweiterung moeglich,Impact cost expansion possible,,
,,,,,,Deckel gebrochen,Lid broken,,
,,,,,,Hinten rechts,Back right,,
,,,,,,nicht Bestandteile der Ausstellung,Not components of the exhibition,,
,,,,,,Steinschlag mit Korrosion,Rockfall with corrosion,,
,,,,,,im Glas,In the glas,,
,,,,,,hinten rechts und links,Rear right and left,,
,,,,,,"Kratzer, Klarlack beschaedigt","Scratch, clearcoat diluted",,
,,,,,,"Biologische veraetzung, kostenerweiterung moeglich","Biological compensation, cost expansion possible",,
,,,,,,1. Und 2. Wartung,1. and 2. Maintenance,,
,,,,,,Leichter Hagelschaden,Slight hail damage,,
,,,,,,Kofferboden,Suitcase,,
,,,,,,Glanzgedreht Materialabtrag,Glossy material removal,,
,,,,,,Polieren und,Polish and,,
,,,,,,Oelservice,Oelservice,,
,,,,,,Zurrband,Ribbon,,
,,,,,,"Lackeinschluesse, Schleifspuren","Paint influence, grinding tracks",,
,,,,,,"schlechtes Tragbild Bremsscheiben, rillig, rost","Bad support frame brake discs, rillig, rust",,
,,,,,,"Glanzgedreht, darf nicht rep. werden!","Shooting, must not be REP. will!",,
,,,,,,"Dach, DachholmL+R, Heckspoiler, Heckkl.","Roof, roof holml + R, rear spoiler, heckkl.",,
,,,,,,Rechts. Vorbehaltlich Folgekosten,Right. Subject to follow-up costs,,
,,,,,,Einbauten,Install,,
,,,,,,Laderaum durch Einbauten,Cargo compartment by installations,,
,,,,,,Verdeckkasten,Top,,
,,,,,,Tuerblende,Boulder,,
,,,,,,Mehrkosten moeglich!,Additional costs possible!,,
,,,,,,unterhalb. Folgekosten moeglich.,below. Subsequent costs possible.,,
,,,,,,foliert. Folgekosten moeglich.,foiled. Subsequent costs possible.,,
,,,,,,ggf. Folgekosten,if applicable,,
,,,,,,Allradantrieb,all wheel drive,,
,,,,,,Rechts aussen,Exit,,
,,,,,,Aussenseite stark abgefahren,Exterior swapped heavily,,
,,,,,,Staufach,Stanchion,,
,,,,,,Verformungen,Deformation,,
,,,,,,Geboerdelt,Building,,
,,,,,,Komplett Mehrkosten moeglich,Complete additional costs possible,,
,,,,,,Fremdkoerper im Profil,Foreign cooper in profile,,
,,,,,,"Materialabtrag, rundherum","Material removal, all around",,
,,,,,,leichte sichtbare Lackierspuren / nacharbeiten,Lightweight visible paint traces / rework,,
,,,,,,ohne Polymerbeschichtung / Notlaufeigenschaften,Without polymer coating / emergency run properties,,
,,,,,,Einkerbung und Kratzer,Nozzle and scratches,,
,,,,,,"Schleifspuren sichtbar, Lackmangel","Grinding tracks visible, paint deficiency",,
,,,,,,"Winterreifen montiert, Sommerreifen im Kofferraum","Winter tires mounted, summer tires in the trunk",,
,,,,,,Kein Nachweis,No proof,,
,,,,,,Laut Ausstattung 205/60 R16,According to equipment 205/60 R16,,
,,,,,,Tuerverkleidung komplett ern.,Door cladding complete.,,
,,,,,,Schienen system rechts,Rails system right,,
,,,,,,"Lackmangel, Lackstruktur unten","Paint deficiency, paint structure below",,
,,,,,,vo li beschaedigt u. Brandloch,Vo Li damaged u. Brand hole,,
,,,,,,Spaltmaß unterschielich,Column dimension,,
,,,,,,"Undicht und nagelt, vorbehaltlich Folgekosten","Leaking and nails, subject to follow-up costs",,
,,,,,,Ummontieren Winterreifen auf Alufelgen verbaut,Converting winter tires to alloy wheels installed,,
,,,,,,Sommerreifen fehlen,Summer tires are missing,,
,,,,,,Keine Sommerreifen in Y,No summer tires in y,,
,,,,,,Halter Kofferaumabdeckung,Holder trunk cover,,
,,,,,,Ummontieren Winterraeder auf Alufelgen montiert,Mount winter maraud on alloy wheels mounted,,
,,,,,,mit Risbildung,rising,,
,,,,,,"Links auslegen, polieren","Lay out on the left, polish",,
,,,,,,"Winterreifen statt Sommerreifen montiert, unter 4mm hinten","Winter tires mounted instead of summer tires, under 4mm rear",,
,,,,,,2 Sommerreifen lose,2 summer tires loose,,
,,,,,,Keine Sommerreifen montiert. 2 Sommerreifen angeliefert,No summer tires mounted. 2 summer tires delivered,,
,,,,,,Bremsbelaege v. Hi. Ok.,Brake pads v. Hi. OK.,,
,,,,,,Außen flanke abgefahren,Outward flank,,
,,,,,,Profilausbrueche.,Profile outbroot.,,
,,,,,,Brandflecke und Zigarettengeruch,Fire stains and cigarette smell,,
,,,,,,Brandfleck,Burn,,
,,,,,,Folgekosten moeglich!,Follow-up costs possible!,,
,,,,,,Innenschulter verschlissen,Inside shoulder worn,,
,,,,,,"diagn.erf.,Mehrkosten moeglich","Diagn.erf., Additional costs possible",,
,,,,,,"Links mit erneuern, vorgabe Audi Profilunterschied","Refresh left, default Audi profile difference",,
,,,,,,Sommerbereifung Bordsteinschaeden,Summer tires of curb shops,,
,,,,,,TUER vl.,Door Vl.,,
,,,,,,TUER hl.,Tuer hl.,,
,,,,,,& Lackveraetzung,Lacquer,,
,,,,,,seit 8 Tagen.,For 8 days.,,
,,,,,,Sommerreifen. Keine Polymerbeschichteten Reifen montiert,Summer tires. No polymer-coated tires mounted,,
,,,,,,"Staubeinschl,orangenh.Schleifen/Polieren.Folgekosten moeglich","Dust Enclosure, Orangenh. Grinding / Polishing. Expenses possible",,
,,,,,,"Tragbild,Korrosion,eingelaufen.","Load picture, corrosion, run.",,
,,,,,,"Staubeinschluesse,Schleifspuren sichtbar,orangenhaut","Dust inclusion, grinding tracks visible, orange skin",,
,,,,,,"Staubeinschluesse,Lack matt,Schleifspuren sichtbar","Dust inclusion, paint matt, grinding tracks visible",,
,,,,,,Winterreifen/Nicht in der Ausstattung,Winter tire / not in the equipment,,
,,,,,,Tierhaare und Schmutz,Animal hair and dirt,,
,,,,,,Lackaufbereitung,Paint preparation,,
,,,,,,"Tragbild,Korrosion,stark eingelaufen,","Loading picture, corrosion, strongly introduced,",,
,,,,,,"Lackmangel, Lackveraetzung.","Paint deficiency, paint finishing.",,
,,,,,,Kante hinten.,Rear edge.,,
,,,,,,Tragbild Bremsscheiben (Korrosion),Loading picture Brake Discs (corrosion),,
,,,,,,Netz Sitz VL,Net seat VL,,
,,,,,,Außenseite,Outside,,
,,,,,,"Einkerbungen, Knick","Einchiefs, Knick",,
,,,,,,Flanke mehrfach eingeschnitten,Flank cut several times,,
,,,,,,Gewebe sichtbar,Tissue visible,,
,,,,,,Flanke eingeschnitten,Flank cut,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Durch Anbauten,Through attachments,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,03.2020 angelaufen,03.2020 started,,
,,,,,,Zierleiste unten mitte,Trim bottom center,,
,,,,,,ungleichmaeßig,uneven,,
,,,,,,Einseitig abgefahren,Unilaterally,,
,,,,,,2 unterschiedliche Reifenmarken,2 different tire brands,,
,,,,,,Unterschiedliches Fabrikat,Different make,,
,,,,,,Werbung,advertising,,
,,,,,,Gerissen,Cracked,,
,,,,,,Krazer,Crazer,,
,,,,,,groeßer 2cm Durchmesser,Großer 2cm diameter,,
,,,,,,im unteren Randbereich,In the lower edge area,,
,,,,,,"vorn, Delle > 2 cm Durchmesser","front, delle> 2 cm diameter",,
,,,,,,inkl. diverser Steinschlaege,incl. Diverse stone slides,,
,,,,,,diverse Eindellungen,Various single-locks,,
,,,,,,im Sichtbereich,In the field of view,,
,,,,,,Steckdose Kofferraum,outlet trunk,,
,,,,,,Zwei sind unterschiedlich,Two are different,,
,,,,,,Einseitig verschlissen,Worn on one side,,
,,,,,,Griff Austelldach,Handle Dustmach,,
,,,,,,Fensterrahmen verkratzt erneuern,Renew window frame scratch,,
,,,,,,#NAME?,#NAME?,,
,,,,,,zur groß fuer Rep.,To big for rep.,,
,,,,,,leicht,easy,,
,,,,,,Winterreifen ohne Notlaufeigenschaften montiert,Winter tires without emergency running properties,,
,,,,,,Zinkblase,Zinc bubble,,
,,,,,,"Staubeinschl.,orangenh. Schleifen/Polieren.Folgekosten moegli","Dust lock, orangenh. Grinding / polishing. Exercise costs Moegli",,
,,,,,,Spoiler Spruehnebel,Spoiler spruebel,,
,,,,,,Fenstergummi,Window rubber,,
,,,,,,Schutzleiste Ladekante,Protective strip loading edge,,
,,,,,,Spachtelloecher,Spachtelloecher,,
,,,,,,Tragbild Bremsscheiben,Plan brake discs,,
,,,,,,"Schleifspuren, Farbunterschiede, Orangenhaut.","Grinding tracks, color differences, orange skin.",,
,,,,,,Im Randbereich,At the edge,,
,,,,,,Tragbild mangelhaft und,Load picture poor and,,
,,,,,,3913DOT,3913dot,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Halterung R fehlt,Bracket R is missing,,
,,,,,,1.202,1202,,
,,,,,,Incl. Kratzer Blende,Incl. Scratch,,
,,,,,,Incl. Blende,Incl. cover,,
,,,,,,Beifahrerseite.,Passenger side.,,
,,,,,,"Staubeinschl,orangenh. Schleifen/Polieren.Folgekosten moeglic","Dust insinence, orangenh. Grinding / polishing. Exercise costs Moeglic",,
,,,,,,Ganzjahresreifen. Profiltiefe unter 4mm.,All-season tires. Profile depth under 4mm.,,
,,,,,,"Staubeinschluesse,orangenhaut,Steinschlag.","Dust inclusion, orange skin, rockfall.",,
,,,,,,"Tragbild,Korrosion, eingelaufen,Riefenbildung.","Load picture, corrosion, run, called.",,
,,,,,,Veraetzungen Folgekosten moeglich,Assumes follow-up costs possible,,
,,,,,,Lackmangel Schleifen und Polieren,Paint deficiency grinding and polishing,,
,,,,,,"Schleifen, auslegen und Polieren","Grinding, laying and polishing",,
,,,,,,Blinkerglas verschuerft,Flash glass sheltered,,
,,,,,,Hohe Lackwerte,High lacquer values,,
,,,,,,2.Radsatz Fremdkoerper in der Laufflaeche,2nd wheel rate external cooper in the run,,
,,,,,,Schraube im Reifen,Screw in the tire,,
,,,,,,Abweichende Lackstrucktur,Different paint print,,
,,,,,,Mit Griff,Handle,,
,,,,,,Beschaedigt,Damaged,,
,,,,,,Steinschlaege auslegen,Lay out stone slides,,
,,,,,,"Lackmangel, Delle und","Paint deficiency, delle and",,
,,,,,,"Lackmangel, rauer UEbergang","Paint deficiency, rough transition",,
,,,,,,"Welliger Untergrund, Staubeinschluesse und","Wavy substrate, dust and",,
,,,,,,"Knick, Staubeinschluesse und welliger Untergrund","Kink, dust close and wavy substrate",,
,,,,,,Lackmangel und,Paint deficiency and,,
,,,,,,Dachhimmel hinten,Rear sky at the back,,
,,,,,,Politur,polish,,
,,,,,,Falscher Geschwindigkeitsindex und falscher Typ,Wrong speed index and false type,,
,,,,,,inkl. Abdeckung Schlepphaken,incl. Cover tow hook,,
,,,,,,"3mm, Ganzjahresreifen","3mm, all-season tires",,
,,,,,,Genaue Kostenkalkulation erforderlich. Mehrkosten moeglich.,Accurate cost calculation required. Additional costs possible.,,
,,,,,,"Schlecht instandgesetzt, Risse sichtbar","Badly repaired, cracks visible",,
,,,,,,Keine Polymerbeschichtung + falscher Geschwindigkeitsindex,No polymer coating + false speed index,,
,,,,,,Clips erneuern,Renew clips,,
,,,,,,freilegen eventuell Schaden Erweiterung,Illustration possibly damage extension,,
,,,,,,Luftdruck pruefen,Proufen air pressure,,
,,,,,,Delle Kratzer,Delle scratches,,
,,,,,,"Fzg steht auf Winterreifen, Auslieferung a. Ganzjahresreifen","FZG stands on winter tires, delivery a. All-season tires",,
,,,,,,eingelaufen Korrosion,introduced corrosion,,
,,,,,,2 Felgen,2 rims,,
,,,,,,Muessten Ganzjahresreifen (Polymerbeschichtet) sein,To be all year-round tires (polymer-coated),,
,,,,,,"In Radlaufkante, erhoehter Aufwand","In cycling edge, increased effort",,
,,,,,,Anaetzung und,Obsolete,,
,,,,,,"Ganzjahresreifen montiert, Ummontieren.","All-season tires mounted, restart.",,
,,,,,,Sommerreifen. Riss in Laufflaeche.,Summer tires. Crack in run.,,
,,,,,,in 0 Tagen.,in 0 days.,,
,,,,,,BATTERIE,BATTERY,,
,,,,,,1xHankook und 1×Falken,1xhankook and 1 × hawk,,
,,,,,,Dellen und veraetzt,Dents and facilitated,,
,,,,,,links.,Left.,,
,,,,,,Spoiler ist rausgesprungen /Folgekosten moeglich,Spoiler has jumped out / follow-up costs,,
,,,,,,Starke Orangenhaut,Strong orange skin,,
,,,,,,platt,flat,,
,,,,,,& Kratzer aufbereiten,Edit and scratch,,
,,,,,,Schraube eingefahren,Screw retracted,,
,,,,,,Sonnenmilchreste,Sun's milk,,
,,,,,,Erhoehter Aufwand,Raised effort,,
,,,,,,Kostenerweiterungen moeglich,Cost extensions possible,,
,,,,,,Randbildung. Auf Mindestmaß pruefen.,Rimging. At the minimum of Prüfen.,,
,,,,,,unten rechts,bottom right,,
,,,,,,erhoehte Dichte,raised density,,
,,,,,,"Konturen weich geschliffen, wellig","Contours softly ground, wavy",,
,,,,,,großflaechige Abplatzer,Large flat chipping,,
,,,,,,Nebelleuchte rechts,Nebelluche right,,
,,,,,,09/2019,09/2019,,
,,,,,,Tuer hinten links oben,Tuer rear left,,
,,,,,,195/65 R15 91H Winter,195/65 R15 91h Winter,,
,,,,,,Keine Funktion Folgekosten moeglich,No function follow-up costs possible,,
,,,,,,Lack ist matt.,Lacquer is matt.,,
,,,,,,"Delle, Steinschlaege &","Delle, stone slides &",,
,,,,,,Aussenflanke beschaedigt,External flank diluted,,
,,,,,,rechts neben Zusatzbremsleuchte.,to the right of additional brake light.,,
,,,,,,Auf Kante oben. Folgekosten moeglich.,On edge above. Subsequent costs possible.,,
,,,,,,"Stoßfaenger links/rechts,Kotfluegel rechts diverse Anbauteile.","Shock Fenger Left / Right, Cotfluegel Right Diverse attachments.",,
,,,,,,Befestigungsknopf fehlt,Mounting button is missing,,
,,,,,,Taschenlampe Laderaum,Flashlight loader,,
,,,,,,Dachhimmel Brillenfach,Roof sky glasses,,
,,,,,,Motorraum Marderschreck,Engine compartment Mardrack,,
,,,,,,Wasserabweiser VL,Water deflector VL,,
,,,,,,Vogelkot/ Veraetzung,Bird dropping / compensation,,
,,,,,,"Wr statt Ganzjahresreifen, Geschwindigkeitsindex falsch","WR instead of all-season tires, speed index incorrectly",,
,,,,,,"Korrosionsbildung durch Standzeit, Freibremsen","Corrosion formation through service life, free brake",,
,,,,,,Rechts vorne Delle nach außen,Right front dent to the outside,,
,,,,,,chromleiste,chrome bar,,
,,,,,,Abrieb groesser als 1mm,Abrasion bigger than 1mm,,
,,,,,,im Knick,knot,,
,,,,,,Raucher,Smoker,,
,,,,,,ca. 60 Dellen,about 60 dents,,
,,,,,,Kontrolllampe Druckverlust (Folgekosten moeglich),Control lamp pressure loss (follow-up costs possible),,
,,,,,,3.2,3.2,,
,,,,,,"Druckstelle, mittig unterhalb","Pressure, centrally below",,
,,,,,,04/2020,04/2020,,
,,,,,,Laesst sich nicht komplett absenken,Do not be completely lowered,,
,,,,,,"Schleifspuren, Lacklaeufer an der Kante","Grinding tracks, paint lae buffer at the edge",,
,,,,,,Radhausverbreiterung.,Radhaus widening.,,
,,,,,,Ca 40 Dellen,About 40 dents,,
,,,,,,groeßere Delle,greater delle,,
,,,,,,Kratzer / Beschaedigung,Scratch / degree,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Radlauf rechts,Wheel run right,,
,,,,,,Lack laeufer,Lack Laeufer,,
,,,,,,Chromleiste. Folgekosten nach zerlegen moeglich.,Chrome bar. Subsequent costs according to disassembly possible.,,
,,,,,,"mitte, Silber lackiert.","Middle, silver painted.",,
,,,,,,"unten, mitte.","Bottom, middle.",,
,,,,,,"Klarlackabloesung, verkratzt.","Clearcoat leakage, scratched.",,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Ersatzsystem fuer abweichende Bereifung,Replacement system for different tires,,
,,,,,,235/55 R 17 Reifen fehlen,235/55 R 17 tires are missing,,
,,,,,,"Bereifung: 7,5 J x 17 Leichtmetallfelgen (4)",Tires: 7.5 J x 17 Alloy wheels (4),,
,,,,,,"Winterreifen montiert,Sommerreifen im Kofferraum","Winter tires mounted, summer tires in the trunk",,
,,,,,,Schleifen und polieren und,Grinding and polishing and,,
,,,,,,Heckscheibe mitte,Rear window center,,
,,,,,,Profiltiefe unter 4 mm,Profile depth below 4 mm,,
,,,,,,Lackoberflaeche und passung an Kotfluegel links.,Lacquer surface and fit on fussluegel left.,,
,,,,,,Heckscheibe rechts,Rear window right,,
,,,,,,"Spaltmaße Fahrzeugfront, Halter L und R gebrochen","Gap dimensions Vehicle front, holder L and R broken",,
,,,,,,Wasser,water,,
,,,,,,Silikon,silicone,,
,,,,,,"Silikonspritzer, Orangenhaut","Silicone splash, orange skin",,
,,,,,,seit 37 Tagen,For 37 days,,
,,,,,,startet nicht,does not start,,
,,,,,,Blende unten,Hide down,,
,,,,,,#NAME?,#NAME?,,
,,,,,,"Lack 120, Folie 50","Lack 120, foil 50",,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Reste,Residual,,
,,,,,,11/19.,11/19.,,
,,,,,,Seit 03/20. Mehrkosten moeglich.,Since 03/20. Additional costs possible.,,
,,,,,,"Steinschlag auslegen, 2 Dellen.","Lay out the rockfall, 2 dents.",,
,,,,,,Vorne sowie rechts und links,Front and right and left,,
,,,,,,03/20.,03/20.,,
,,,,,,6 Bauteile.,6 components.,,
,,,,,,Angefressen,Stuffed,,
,,,,,,Inkl. Unterbodenschutz,Incl. Underbody protection,,
,,,,,,Inkl.Unterbodenschutz,Incl. Unterbodschutz,,
,,,,,,"Delle, Lackmangel","Delle, paint deficiency",,
,,,,,,"Delle, Korrosion","Delle, corrosion",,
,,,,,,Sommerreifen statt Ganzjahresreifen mit Notlaufeigenschaften,Summer tires instead of all-season tires with emergency run properties,,
,,,,,,stark verschmutzt,very dirty,,
,,,,,,inklusive hintere Verkleidung,Including rear panel,,
,,,,,,nahe der Verschleißgrenze,near the wear limit,,
,,,,,,Grosse tiefe delle,Big deep delle,,
,,,,,,Mit leichtem knick,Lightly,,
,,,,,,Mit Lackrisen,With paint rises,,
,,,,,,"Delle druecken, Kratzer schleifen und polieren","Press the delle, grind scratches and polish",,
,,,,,,09/18/22,09/18/22,,
,,,,,,Korrosion/Steinschlag,Corrosion / rockfall,,
,,,,,,Vorbehaltlich Folgekosten.,Subject to follow-up costs.,,
,,,,,,Erhoeter Aufwand,Charging effort,,
,,,,,,Oberflaeche Rau und wellig,Oberflaeche rough and wavy,,
,,,,,,Chromblende Stoßfaenger hinten,Chrome bleed shock face,,
,,,,,,Harzflecken/Veraetzungen,Resin stains / disappearances,,
,,,,,,"Staubeinschluesse, schleifspuren","Dust inclusion, grinding tracks",,
,,,,,,Links unten,Left bottom left,,
,,,,,,inkl. Auslegen und polieren,incl. Layout and polishing,,
,,,,,,"Schadenausweitung moeglich,Mehrkosten koennen entstehen.","Damage expansion possible, additional costs can arise.",,
,,,,,,Tuergriff ern,Tu,,
,,,,,,Nagel in Laufflaeche,Nail in running,,
,,,,,,"Lichtverhaeltnisse schlecht, Folgekosten moeglich","Lights bad, follow-up costs possible",,
,,,,,,Kratzer und Verformung,Scratch and deformation,,
,,,,,,Toenung links u. rechts,Touding left u. Right,,
,,,,,,Verglasung lose,Glazing loose,,
,,,,,,Winterrad nicht Bestandteil der Ausstattung,Winter wheel not part of the equipment,,
,,,,,,Truebung,TRUE,,
,,,,,,"Staubeinschluesse, welliger Untergrund, Dellen","Dust inclusion, wavy underground, dents",,
,,,,,,Toenungsfolie verkratz,Tentungsfolie scratch,,
,,,,,,Bezug abgenutzt,Reference worn,,
,,,,,,Innenverkleidung beschaedigt,Inner panel damaged,,
,,,,,,Sommerreifen luftverlust,Summer tires Air loss,,
,,,,,,Inspektion seit 18 Tagen,Inspection for 18 days,,
,,,,,,Motorkontrollleuchte an,Motor container light on,,
,,,,,,OElwechselservice,Oil change service,,
,,,,,,Blende Haltegriff,Handle handle,,
,,,,,,Rissbildung (nicht fachgerecht instandgesetzt),Cracking (not properly repaired),,
,,,,,,& Lehnenpolster,& Rhue,,
,,,,,,Grober Materialabtrag am Felgenhorn,Gross material removal on the rim horn,,
,,,,,,06/ 2019,06/2019,,
,,,,,,11/ 2020,11/2020,,
,,,,,,loses klappern,loose,,
,,,,,,Abblaetterung,Drainage,,
,,,,,,Keine Runflat Reifen,No Runflat tires,,
,,,,,,Harzverklebungen,Resin adhesions,,
,,,,,,"Veraetzungen/Lacktiefenbehandlung,Folgekosten koennen entstehe","Assumes / lacquer depth treatment, follow-up costs arise",,
,,,,,,Marderbisse,Martenbisse,,
,,,,,,Dichtung verkratzt,Scratched seal,,
,,,,,,"Steinschlag, Anaetzung","Rockfall, obsolete",,
,,,,,,Geruch nach Hund.,Smell to dog.,,
,,,,,,"Lackmangel, Schleifspuren, wolkig","Paint deficiency, grinding tracks, cloudy",,
,,,,,,Raue oberflaeche und verformung,Rough surface and deformation,,
,,,,,,Abdeckkappe hinten,Cover back,,
,,,,,,Chromleiste Stossfaenger hinten,Chrome strip shockfaenger rear,,
,,,,,,Korrosionsbildung durch Standzeit> frei bremsen,Corrosion formation by service life> Bremise free,,
,,,,,,2x ganzjahresreifen,2x all-season tires,,
,,,,,,Ablagefach /Brillenfach,Storage compartment / eyeglass tray,,
,,,,,,"Lackkante, Lackmangel","Lacquer edge, paint deficiency",,
